date,milestone
2007-09-06,Pilot
2007-10-04,Iteration1
2007-11-02,Iteration2
2007-11-30,Iteration3
2008-01-04,Iteration4
2008-02-01,Iteration5
2008-03-17,Iteration6
2008-04-06,Iteration7
2008-05-21,Iteration8
2008-06-26,Iteration9
2008-07-24,Iteration10
2008-09-04,Iteration11
2008-10-02,Iteration12
2008-10-30,Iteration13
2008-12-19,Iteration14
2009-02-06,Iteration15
2009-03-06,Iteration16
2009-05-14,Iteration17
2009-06-25,Iteration18
2009-07-31,Iteration19
2009-09-30,Iteration20
2010-02-09,Iteration21
2010-04-08,Iteration22
2010-06-13,Iteration23
2010-08-30,Iteration24
2010-11-05,Iteration25
2010-12-20,Iteration26
2011-02-18,Iteration27
2011-05-05,Iteration28
2011-06-30,Iteration29
2011-09-22,Iteration30
2011-11-07,Iteration31
2012-02-03,v2.0.1
2012-02-03,v2.0.0
2012-03-14,v2.0.2
2012-05-03,v2.1.0
2012-05-31,v2.1.1
2012-08-09,v2.2.0
2012-11-02,v2.3.0
2012-11-21,v2.3.1
2012-12-12,v2.3.2
2013-02-01,v2.4.0
2013-05-10,v2.5.0
2013-05-30,v2.5.3
2013-08-02,v2.6.0
2013-08-19,v2.6.1
2013-11-04,v3.0.0
2014-02-06,v3.1.0
2014-02-27,v3.1.1
2014-03-01,v3.3.1
2014-07-11,v3.2.0
2014-08-21,v3.2.1
2015-01-16,v3.3.0
2015-05-17,v3.4.0
