Algorithm,Usage
ClearUBv1,31
ExaminePowderDiffProfilev1,2
ExaminePowderDiffProfilev1,2
ExaminePowderDiffProfilev1,2
IndexPeaksv1,611
AddNotev1,10
DefineGaugeVolumev1,2
SetInstrumentParameterv1,286
ResizeRectangularDetectorv1,2
DeleteTableRowsv1,1784
EnggVanadiumCorrectionsv1,6
FindUBUsingIndexedPeaksv1,9405
AddSampleLogv1,91869
LoadInstrumentFromRawv1,2
LoadDetectorInfov1,2
AddPeakHKLv1,941
CreateModeratorModelv1,0
SetUBv1,173
LoadCIFv1,45
SortEventsv1,25
ConjoinWorkspacesv1,47100
ChangeQConventionv1,2
LoadParameterFilev1,9932
FitPowderDiffPeaksv1,2
SetSamplev1,43
LoadVulcanCalFilev1,2
RotateInstrumentComponentv1,725374
ClearMaskFlagv1,18
LoadFullprofResolutionv1,4
CopyDetectorMappingv1,3
AddTimeSeriesLogv1,1228
RenameLogv1,2
SetMDFramev1,2
MoveInstrumentComponentv1,637803
SelectCellWithFormv1,63
UpdatePeakParameterTableValuev1,3
LoadGSASInstrumentFilev1,6
GetTimeSeriesLogInformationv1,2
LoadInstrumentv1,245834
ApplyCalibrationv1,4
CopySamplev1,1077
SetSpecialCoordinatesv1,4
PDCalibrationv1,22
CalculatePeaksHKLv1,2693
GetEiT0atSNSv1,31
FindUBUsingLatticeParametersv1,3972
FakeMDEventDatav1,9376
IntegrateEllipsoidsv1,4687
TransformHKLv1,122
RotateSourcev1,2
EnggCalibrateFullv1,4
ConvertToDistributionv1,20884
CopyLogsv1,14557
RemoveWorkspaceHistoryv1,14
LeBailFitv1,2
EQSANSPatchSensitivityv1,4
LoadMuonLogv1,2
GroupDetectorsv1,6
LoadInstrumentFromNexusv1,2
LoadLogv1,10
TOFSANSResolutionv1,8
GetEiv2,28593
ExportTimeSeriesLogv1,181
GoniometerAnglesFromPhiRotationv1,2
LoadMappingTablev1,2
SCDCalibratePanelsv1,18
LoadIsawUBv1,26914
RefinePowderInstrumentParametersv2,0
OptimizeLatticeForCellTypev1,495
LoadNexusLogsv1,11901
SetGoniometerv1,87513
CalculateUMatrixv1,655
PoldiPeakSearchv1,2
MaskBTPv1,13965
AddPeakv1,3841
FindUBUsingFFTv1,1654
CopyInstrumentParametersv1,43
LoadIDFFromNexusv1,2
AddLogDerivativev1,6
AddSampleLogMultiplev1,2834
EditInstrumentGeometryv1,13652
FindUBUsingMinMaxDv1,6
DeleteLogv1,4
MaskDetectorsInShapev1,924
ShowPossibleCellsv1,331
CalculateCountRatev1,2
ConvertFromDistributionv1,2889
Commentv1,2
IndexSXPeaksv1,1
MergeLogsv1,2
SANSMaskWorkspacev1,829
SANSMovev1,3324
EQSANSResolutionv1,10831
SassenaFFTv1,30
CorrectLogTimesv1,327
PoldiAutoCorrelationv5,2
RemoveLogsv1,4035
UpdateInstrumentFromFilev1,28
SetDetScalev1,5
AlignAndFocusPowderFromFilesv1,214
AlignAndFocusPowderFromFilesv1,214
AlignAndFocusPowderFromFilesv1,214
LoadIsawDetCalv1,2077
SelectCellOfTypev1,236
AlignAndFocusPowderv1,1368
AlignAndFocusPowderv1,1368
AlignAndFocusPowderv1,1368
MaskMDv1,15
MaskDetectorsv1,215615
SetScalingPSDv1,21
RefinePowderDiffProfileSeqv1,0
SetSampleMaterialv1,372
CreateChopperModelv1,0
SANSMaskv1,2177
ClearInstrumentParametersv1,8
